batter,avg_pa,babip,rolling_xBA,momentum,matchup_score,l10_hit_rate,season_hit_rate,avg_vs_L,avg_vs_R,streak_len,stand
572039,11.0,0.5,0.25,88.0,0.0,1.0,1.0,0.0,0.5,1,R
592144,8.0,0.33333334,0.25,88.0,-0.5937319,1.0,1.0,0.0,0.3333333333333333,1,R
641684,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
681259,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,L
668993,3.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
657562,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
689931,4.0,0.0,0.25,88.0,-10.874802,0.0,0.0,0.0,0.0,0,R
656378,3.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,L
667493,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
663478,3.0,0.5,0.25,88.0,10.353408,0.0,0.0,1.0,0.0,0,R
650339,6.0,0.0,0.25,88.0,-14.718621,0.0,0.0,0.0,0.0,0,R
703152,3.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
800201,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,L
685313,1.0,1.0,0.25,88.0,9.413889,1.0,1.0,0.0,1.0,1,L
624417,3.5,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
682628,1.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,L
656509,3.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
594953,4.5,0.375,0.25,88.0,0.0,0.5,0.5,0.75,0.0,0,L
681466,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
665975,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
656388,3.8,1.0,0.25,88.0,0.0,0.6,0.6,0.0,1.0,0,R
680938,3.8,1.0,0.25,88.0,0.0,0.6,0.6,0.0,1.0,0,L
516472,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
680910,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
692043,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
688658,3.8,0.0,0.25,88.0,1.7107247,0.6,0.6,0.0,0.0,0,R
800185,3.8,0.0,0.25,88.0,-7.4996686,0.6,0.6,0.0,0.0,0,R
686781,4.3333335,0.5,0.25,88.0,-0.13154098,0.3333333333333333,0.3333333333333333,0.0,0.5,0,R
663660,3.5,1.0,0.25,88.0,-3.467576,0.5,0.5,0.0,0.5,0,R
683536,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
672775,3.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
703715,5.0,1.0,0.25,88.0,0.0,1.0,1.0,0.0,0.5,1,R
683001,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,L
691449,4.0,0.0,0.25,88.0,-7.302072,0.0,0.0,0.0,0.0,0,R
660650,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
691181,3.8,0.5,0.25,88.0,7.6700373,0.6,0.6,0.0,0.5,0,L
682682,1.0,1.0,0.25,88.0,0.8461538,1.0,1.0,0.0,1.0,1,L
656766,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
684494,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
663618,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
621011,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,L
687144,3.8,0.0,0.25,88.0,-8.298958,0.6,0.6,0.0,0.0,0,R
676803,1.0,1.0,0.25,88.0,0.0,1.0,1.0,0.0,0.3333333333333333,1,L
702476,3.8,0.0,0.25,88.0,-3.376389,0.6,0.6,0.0,0.0,0,R
594694,6.5,0.0,0.25,88.0,-16.20607,0.0,0.0,0.0,0.0,0,L
665173,3.8,1.0,0.25,88.0,0.0,0.6,0.6,0.0,1.0,0,R
680671,1.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
681068,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
679027,3.8,0.0,0.25,88.0,2.8000002,0.6,0.6,0.0,0.0,0,L
672479,3.8,0.0,0.25,88.0,-9.543036,0.6,0.6,0.0,0.0,0,R
543308,11.5,0.2857143,0.25,86.90769,1.1077778,0.5,0.5,0.0,0.2857142857142857,1,R
688226,3.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
681143,4.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,L
663600,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
687013,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
676595,1.0,1.0,0.25,88.0,0.0,1.0,1.0,0.0,1.0,1,R
658677,4.5,0.0,0.25,88.0,-5.9590054,0.0,0.0,0.0,0.0,0,R
694246,3.8,0.3,0.25,88.0,-1.5668895,0.6,0.6,0.26,0.26,0,R
687426,3.8,0.0,0.25,88.0,-4.088889,0.6,0.6,0.0,0.0,0,R
667442,1.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
592205,7.0,0.0,0.25,88.0,-4.7690477,0.0,0.0,0.0,0.0,0,R
687567,3.8,0.0,0.25,88.0,-4.278607,0.6,0.6,0.0,0.0,0,R
678803,3.8,0.0,0.25,88.0,-0.21943112,0.6,0.6,0.0,0.0,0,R
656364,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,L
642423,8.0,0.75,0.25,88.0,2.9060154,1.0,1.0,0.0,0.6,1,L
670870,4.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,L
657129,4.0,1.0,0.25,88.0,-19.784735,0.5,0.5,0.0,0.5,0,R
680396,5.0,0.0,0.25,88.0,-8.267782,0.0,0.0,0.0,0.0,0,R
691949,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
689651,3.8,0.3,0.25,88.0,-14.8307705,0.6,0.6,0.26,0.26,0,R
671250,3.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
702416,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
694199,3.8,0.3,0.25,88.0,-11.47293,0.6,0.6,0.26,0.26,0,L
606299,2.6666667,0.6666667,0.25,88.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0,R
683469,3.8,0.0,0.25,88.0,-13.055351,0.6,0.6,0.0,0.0,0,R
691623,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
701778,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
678636,6.6666665,0.0,0.25,88.0,-2.8743382,0.0,0.0,0.0,0.0,0,L
800145,3.8,0.0,0.25,88.0,-6.0514336,0.6,0.6,0.0,0.0,0,R
670427,10.0,0.0,0.25,88.0,-5.7438955,0.0,0.0,0.0,0.0,0,R
686843,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
685328,3.8,0.0,0.25,88.0,-6.821212,0.6,0.6,0.0,0.0,0,L
650506,2.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
683341,2.0,0.5,0.25,88.0,0.0,1.0,1.0,0.0,1.0,1,L
643271,4.0,0.0,0.25,88.0,-4.196966,0.0,0.0,0.0,0.0,0,R
534606,13.0,0.0,0.25,88.0,-7.042798,0.0,0.0,0.0,0.0,0,R
606993,7.25,0.42857143,0.25,88.0,-4.8342767,0.5,0.5,0.0,0.3333333333333333,0,R
658069,16.0,0.0,0.25,88.0,74.41311,0.0,0.0,0.0,0.16666666666666666,0,R
592567,5.6666665,0.33333334,0.25,88.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.125,0,L
608577,3.6666667,0.4,0.25,88.0,-5.5846925,0.3333333333333333,0.3333333333333333,0.0,0.5,0,L
643603,17.0,0.0,0.25,88.0,-0.2923581,0.0,0.0,0.0,0.0,0,R
622100,7.6666665,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
642221,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,L
682109,1.0,1.0,0.25,88.0,0.65222037,1.0,1.0,0.0,0.5,1,L
621453,9.2,0.2857143,0.25,88.0,-2.4426367,0.2,0.2,0.0,0.14285714285714285,0,L
682725,3.8,0.0,0.25,88.0,-4.783213,0.6,0.6,0.0,0.0,0,L
680963,3.8,0.3,0.25,88.0,-15.518835,0.6,0.6,0.26,0.26,0,R
702292,1.0,0.5,0.25,88.0,-6.4893928,1.0,1.0,0.0,0.5,1,L
693309,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
665138,5.0,0.33333334,0.25,88.0,0.0,0.0,0.0,0.5,0.0,0,L
605512,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
682452,3.8,0.0,0.25,88.0,4.193173,0.6,0.6,0.0,0.0,0,L
658652,3.8,0.3,0.25,88.0,-6.875274,0.6,0.6,0.26,0.26,0,R
621005,5.25,0.25,0.25,88.0,0.0,0.5,0.5,0.5,0.09090909090909091,2,R
687044,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,L
676198,4.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
592261,1.5,1.0,0.25,88.0,0.0,1.0,1.0,0.0,1.0,2,R
694230,4.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,L
641385,2.6666667,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,L
672361,3.8,0.3,0.25,88.0,-0.552954,0.6,0.6,0.26,0.26,0,L
683013,6.0,0.0,0.25,88.0,-5.8882356,0.0,0.0,0.0,0.0,0,R
668698,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
694202,3.0,0.0,0.25,88.0,-5.7705884,0.0,0.0,0.0,0.0,0,R
656695,8.666667,0.0,0.25,88.0,-5.0749393,0.0,0.0,0.0,0.0,0,L
703939,4.0,0.0,0.25,88.0,-5.435399,0.0,0.0,0.0,0.0,0,L
677928,2.5,0.0,0.25,88.0,3.8733335,0.0,0.0,0.0,0.0,0,R
